Algorithm,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Calmar Ratio
PAMR,75.99%,33.74%,1.17,23.56%,1.43
OLMAR,67.55%,30.40%,1.01,27.02%,1.12
ANTICOR2,49.86%,23.12%,1.36,10.33%,2.24
ANTICOR1,46.92%,21.88%,1.26,10.81%,2.02
MinVar,27.66%,13.38%,1.19,7.03%,1.91
EG,27.24%,13.19%,1.18,7.03%,1.88
UP,27.24%,13.19%,1.18,7.04%,1.87
CWMR_STD,27.16%,13.15%,1.17,7.08%,1.86
CWMR_VAR,27.06%,13.11%,1.17,7.04%,1.86
CRP,27.06%,13.11%,1.17,7.04%,1.86
BEST,27.06%,13.11%,1.17,7.04%,1.86
SP,27.06%,13.11%,1.17,7.04%,1.86
M0,17.27%,8.54%,0.65,15.92%,0.54
WMAMR,11.87%,5.94%,0.34,28.07%,0.21
ONS,-15.33%,-8.20%,-0.17,39.08%,-0.21
